full_name,short_name
上海盛万投资有限公司										,盛万投资
RTA Capital										,RTA Capital
Finnish Industry Investment Ltd.										,Finnish Industry Investment Ltd.
Principal Investments										,Principal Investments
广东温氏投资有限公司										,广州温氏投资
重庆天使投资引导基金有限公司										,重庆引导基金有限公司
泛亚国际投资有限公司										,泛亚国际
万科企业股份有限公司										,万科
杭州泰邦创业投资有限公司										,泰邦创投
上海建信股权投资管理有限公司										,上海建信资本
深圳市合御资本管理有限公司										,合御资本
加拿大魁北克储蓄投资集团										,魁北克储投
"Presidio STX, LLC										",Presidio STX
汇丰银行										,汇丰银行
天润资本管理（北京）有限公司										,天润资本
曼达林基金										,曼达林
China Prosperity Capital Advisors Limited										,China Prosperity Capital Advisors Limited
胜捷投资管理公司										,胜捷投资
上海浦东软件园创业投资管理有限公司										,浦软创投
深圳市新产业创业投资有限公司										,新产业创投
明石投资管理有限公司										,明石创新
天增地长（上海）创业投资管理有限公司										,天地基金
C.M. Capital Corp.										,CMC
Oaktree Capital Management.LLC										,Oaktree
红塔创新投资股份有限公司										,红塔创投
龙泽资本										,龙泽资本
南方粤科文创投资基金										,粤科文创基金
通环创业投资公司										,通环创投
北京大中投资有限公司										,大中投资
金城资本管理有限公司										,金城资本
新疆卷石股权投资有限公司										,卷石投资
Pamoja Capital										,Pamoja Capital
深圳市前海阿比特资本管理有限公司										,深圳市前海阿比特资本管理有限公司
华融渝富股权投资基金管理有限公司										,华融渝富资本
常州和泰投资有限公司										,和泰投资
深圳金石资产管理有限公司（原深圳市高新创投资有限公司）										,金石资产（深圳高新创）
日信资本投资有限公司										,日信资本
哈弗商业学校天使基金										,哈弗商业学校天使基金
宁波坤鼎股权投资管理有限公司										,坤鼎投资
浙江富鑫创业投资有限公司										,富鑫创投
上海漕河泾创业投资管理有限公司										,漕河泾创投管理
江苏新城创业投资有限公司										,新城创投
Alta Ventures Mexico										,Alta Ventures Mexico
惟同投资										,惟同投资
Edmond de Rothschild Private Equity Management Ltd										,EdRPE
高能天汇创业投资有限公司										,高能资本
上海力鼎投资管理有限公司										,力鼎资本
硅谷天堂资产管理集团股份有限公司										,硅谷天堂
深圳市创新投资集团有限公司										,深创投
浙江满博投资管理有限公司										,满博投资
KLM Capital Group										,KLM Capital
康汉投资管理（北京）有限公司										,康汉投资管理（北京）有限公司
中冶建信投资基金管理（北京）有限公司										,中冶建信投资基金管理（北京）有限公司
西部发展产业基金管理（天津）有限公司										,西部发展产业基金管理
山西风险投资股份有限公司										,山西风投
Och-Ziff Capital Management Group										,Och-Ziff
Arsenal Venture Partners										,Arsenal Venture Partners
上海磐石投资有限公司										,磐石资本
Rebright Partners										,Rebright Partners
亚粮产业发展基金										,亚粮产业基金
Xilinx Inc.										,Xilinx
苏州宝沃创业投资管理有限公司										,宝沃创投
Capnamic Ventures										,Capnamic Ventures
Pope Investments										,Pope
北京国泰创业投资基金管理有限公司										,国泰创投
深圳市启赋资本管理有限公司										,启赋资本
特华投资控股有限公司										,特华投资
Oaktree Capital										,Oaktree Capital
四川亿荣投资管理股份有限公司										,亿荣投资
上海业禾投资有限公司										,业禾投资
上海市银华瑞信创业投资有限公司										,银华瑞信创投
璧合科技股份有限公司										,璧合科技
Revolution Ventures										,Revolution Ventures
Lightbank										,Lightbank
ISAI										,ISAI
深圳创新谷投资管理有限公司										,创新谷投资
Pangaea Ventures LTD.										,Pangaea Ventures
全球环境基金										,全球环境
上海通维投资有限公司										,通维投资
荆山楚源产业投资										,荆山楚源产业投资
瀚晖投资										,瀚晖投资
宏弧资本										,宏弧资本
Spinnaker Capital Group										,Spinnaker Capital
湖南清源投资管理有限公司										,清源投资
Harbert Growth Partners										,Harbert Growth Partners
海南思睿惠丰股权投资基金管理有限公司										,海南思睿惠丰股权投资基金管理有限公司
浙江巨擎投资有限公司										,浙江巨擎
杭州联网投资管理有限公司										,杭州联网投资
明都资本										,明都资本
Square 1 Bank										,Square 1 Bank
广西丝路产业基金										,广西丝路基金
上海嘉石投资有限公司										,上海嘉石
联新资本										,联新资本
国泰君安创新投资有限公司										,国泰君安创新投
天达资产管理有限公司										,天达资产
上海恒锐创业投资有限公司										,恒锐创投
汇力（北京）投资基金管理有限公司										,汇力基金
广州知牛资产管理有限公司										,广州知牛资产管理有限公司
杭州高新风险投资有限公司										,杭州高新投
杭州市高科技投资有限公司										,杭高投
海峡汇富产业投资基金管理有限公司										,汇富产业投资基金
正和磁系资本										,磁晅资本
苏州高新创业投资集团有限公司										,苏高新创投集团
Fortinet										,Fortinet
澳大利亚联邦银行										,澳洲联邦银行
Wing Venture Partners										,Wing Venture Partners
富厚投资										,富厚投资
扬子资本管理有限公司										,扬子资本
沈阳蓝海产业股权投资基金管理有限公司										,蓝海产业投资
青岛市崂山区创业投资有限责任公司										,崂山创投
VenrockAssociates										,Venrock
盈峰资本管理有限公司										,盈峰资本
兴业创新资本管理有限公司										,兴业创新资本管理有限公司
Mohr Davidow Ventures										,Mohr Davidow Ventures
香港佳理投资公司										,佳理投资
西部数据股份有限公司										,西部数据
融众资本投资集团有限公司										,融众资本
Northwestern Mutua										,Northwestern Mutua
广州文天股权投资基金管理有限公司										,广州文天股权投资基金管理有限公司
华天资本										,华天资本
鼎晖投资基金管理公司										,鼎晖投资
云南高盛投资有限公司										,云南高盛投资有限公司
Presence Capital										,Presence Capital
亚杰商会上海天使投资俱乐部										,天使谷
李嘉诚基金会有限公司										,李嘉诚基金会
